Language	Studie	Age Range	Plosives	Nasals	Trills, taps, and flaps	Fricatives	Lateral fricatives	Approximants and laterals	Affricates	Clicks	Implosives	Ejectives
Afrikaans (afr)	1	36–114	/p, b, t, d, k, ɡ/	/m, n, ŋ/	/(r)/	/f, v, (s), z, ʃ, x, ɦ/	—	/j, l/	—	—	—	—
Arabic (ara)	3	16–76	/p, b, bː, t, tˤ, tːˤh, (t), d, (dˤ), (d), k, ɡ, q, qː, Ɂ/	/m, n, (ŋ)/	/r, (rː), ɾ/	/f, (v), θ, ð, ðˤ, ð̲, s, sˤ, s̲, (sː), z, (zˤ), ʃ, (ʒ), x, (ɣ), χ, χː, ʁ, ħ, ʕ, h/	—	/j, l, w, ɥ/	/ʧ, ʤ/	—	—	—
Cantonese (yue)	3	24–148	/p, ph, t, th, k, kh, kw, kwh/	/m, n, ŋ/	—	/f, s, h/	—	/j, l, w/	/ts, tsh/	—	—	—
Danish (dan)	2	24–71	/p, b, t, d, k, ɡ/	/m, n, ŋ/	—	/f, v, ð, s, ɕ, ʁ, h/	—	/j, l, w/	—	—	—	—
Dutch (nld)	2	15–48	/p, b, t, d, (c), k, (ɡ)/	/m, n, (ɲ), (ŋ)/	/ɾ/	/f, v, s, (z), (ʃ), (ʒ), (ɣ), χ, h/	—	/ʋ, (ɹ), j, l, (w)/	/(ʧ), (ʤ)/	—	—	—
English (eng)	15	23–155	/p, b, t, d, k, ɡ/	/m, n, ŋ/	—	/f, v, θ, ð, s, z, ʃ, ʒ, ʍ, h/	—	/ɹ, j, l w/	/ʧ, ʤ/	—	—	—
French (fra)	1	20–53	/p, b, t, d, k, ɡ/	/m, n, ŋ/	—	/f, v, z, ʃ, ʒ, ʁ/	—	/j, l, w, ɥ/	—	—	—	—
German (deu)	1	18–71	/p, b, t, d, k, ɡ/	/m, n, ŋ/	—	/f, v, s, z, ʃ, ç, x, ʁ, h/	—	/j, l/	/pf, ʦ/	—	—	—
Greek (ell)	2	24–54	/p, ph, ᵐb, t, th, d, nd, c, (ch), ɟ, nɟ, k, kh, kw, ɡ, nɡ/	/m, n, ɲ, (ŋ)/	/ɾ/	/f, v, θ, ð, s, z, (ʃ), (ʒ), ç, ʝ, x, ɣ/	—	/l, ʎ/	/ʦ, ʣ, (ʧ), (ʤ)/	—	—	—
Haitian Creole (hat)	1	24–51	/p, b, t, d, k, (ɡ)/	/m, n, (ɲ), (ŋ)/	—	/f, v, s, z, ʃ, ʒ, ʁ/	—	/j, l, w, ɥ/	/(ʧ), ʤ/	—	—	—
Hebrew (heb)	1	10–42	/p, b, t, d, k, ɡ/	/m, n/	—	/f, v, s, z, ʃ, (ʒ), x, (h)/	—	/j, l/	/ʦ, ʧ, (ʤ)/	—	—	—
